County Name,COL Score
"Gilmer County, Georgia",92
"Hall County, Georgia",92
"Putnam County, Georgia",92
"Jackson County, Georgia",92
"Monroe County, Georgia",92
"Fannin County, Georgia",91
"Towns County, Georgia",91
"Glynn County, Georgia",91
"Bartow County, Georgia",91
"Union County, Georgia",91
"White County, Georgia",90
"Clayton County, Georgia",90
"Lamar County, Georgia",90
"Chatham County, Georgia",89
"Lee County, Georgia",89
"Oglethorpe County, Georgia",89
"Rabun County, Georgia",89
"Long County, Georgia",89
"Banks County, Georgia",89
"Spalding County, Georgia",88
"Lincoln County, Georgia",88
"Butts County, Georgia",88
"Clarke County, Georgia",86
"Jones County, Georgia",86
"Catoosa County, Georgia",86
"Lowndes County, Georgia",85
"Lanier County, Georgia",85
"Camden County, Georgia",85
"Hart County, Georgia",85
"Meriwether County, Georgia",85
"Madison County, Georgia",85
"Dade County, Georgia",84
"McIntosh County, Georgia",84
"Habersham County, Georgia",84
"Brooks County, Georgia",84
"Grady County, Georgia",84
"Crawford County, Georgia",83
"Baldwin County, Georgia",83
"Liberty County, Georgia",83
"Floyd County, Georgia",83
"Franklin County, Georgia",83
"Bulloch County, Georgia",83
"Tift County, Georgia",83
"Thomas County, Georgia",82
"Houston County, Georgia",82
"Peach County, Georgia",82
"McDuffie County, Georgia",82
"Walker County, Georgia",82
"Charlton County, Georgia",81
"Richmond County, Georgia",81
"Murray County, Georgia",81
"Talbot County, Georgia",81
"Laurens County, Georgia",80
"Decatur County, Georgia",80
"Early County, Georgia",80
"Pierce County, Georgia",80
"Cook County, Georgia",80
"Berrien County, Georgia",80
"Whitfield County, Georgia",80
"Baker County, Georgia",80
"Marion County, Georgia",80
"Worth County, Georgia",80
"Terrell County, Georgia",79
"Gordon County, Georgia",79
"Pulaski County, Georgia",79
"Schley County, Georgia",79
"Seminole County, Georgia",79
"Echols County, Georgia",79
"Troup County, Georgia",79
"Stephens County, Georgia",78
"Honolulu County, Hawaii",180
"Kalawao County, Hawaii",172
"Maui County, Hawaii",162
"Kauai County, Hawaii",158
"Hawaii County, Hawaii",133
"Dallas County, Iowa",100
"Johnson County, Iowa",95
"Dickinson County, Iowa",94
"Madison County, Iowa",92
"Warren County, Iowa",92
"Mills County, Iowa",92
"Polk County, Iowa",90
"Winneshiek County, Iowa",89
"Story County, Iowa",88
"Dubuque County, Iowa",88
"Iowa County, Iowa",88
"Bremer County, Iowa",88
"Cedar County, Iowa",87
"Washington County, Iowa",87
"Scott County, Iowa",87
"Benton County, Iowa",87
"Jones County, Iowa",86
"Pottawattamie County, Iowa",86
"Delaware County, Iowa",86
"Boone County, Iowa",85
"Guthrie County, Iowa",85
"Harrison County, Iowa",85
"Sioux County, Iowa",85
"Plymouth County, Iowa",85
"Linn County, Iowa",85
"Grundy County, Iowa",84
"Jackson County, Iowa",84
"Poweshiek County, Iowa",84
"Marion County, Iowa",84
"Allamakee County, Iowa",84
"Jasper County, Iowa",82
"Muscatine County, Iowa",82
"Clayton County, Iowa",82
"Carroll County, Iowa",82
"Buchanan County, Iowa",82
"Davis County, Iowa",81
"Clarke County, Iowa",81
"Shelby County, Iowa",81
"Butler County, Iowa",81
"Lyon County, Iowa",81
"Fremont County, Iowa",81
"Louisa County, Iowa",81
"Tama County, Iowa",80
"Black Hawk County, Iowa",80
"Clay County, Iowa",80
"Clinton County, Iowa",80
"Jefferson County, Iowa",80
"Mitchell County, Iowa",79
"Adair County, Iowa",79
"Chickasaw County, Iowa",79
"Howard County, Iowa",79
"Mahaska County, Iowa",79
"Monroe County, Iowa",79
"Henry County, Iowa",79
"Woodbury County, Iowa",79
"Kossuth County, Iowa",78
"Hamilton County, Iowa",78
"Worth County, Iowa",78
"Cass County, Iowa",78
"Cerro Gordo County, Iowa",78
"Union County, Iowa",78
"Hancock County, Iowa",78
"Hardin County, Iowa",78
"Marshall County, Iowa",77
"Keokuk County, Iowa",77
"Buena Vista County, Iowa",77
"Floyd County, Iowa",77
"O'Brien County, Iowa",77
"Humboldt County, Iowa",77
"Van Buren County, Iowa",77
"Greene County, Iowa",77
"Lucas County, Iowa",77
"Winnebago County, Iowa",77
"Palo Alto County, Iowa",77
"Ringgold County, Iowa",77
"Decatur County, Iowa",77
"Cherokee County, Iowa",77
"Adams County, Iowa",77
"Ida County, Iowa",76
"Emmet County, Iowa",76
"Lee County, Iowa",76
"Osceola County, Iowa",76
"Taylor County, Iowa",76
"Monona County, Iowa",76
"Fayette County, Iowa",76
"Crawford County, Iowa",76
"Sac County, Iowa",76
"Wayne County, Iowa",76
"Calhoun County, Iowa",76
"Franklin County, Iowa",76
"Audubon County, Iowa",75
"Appanoose County, Iowa",75
"Wright County, Iowa",75
"Montgomery County, Iowa",75
"Des Moines County, Iowa",75
"Wapello County, Iowa",74
"Page County, Iowa",74
"Webster County, Iowa",74
"Pocahontas County, Iowa",74
"Blaine County, Idaho",126
"Teton County, Idaho",118
"Kootenai County, Idaho",107
"Valley County, Idaho",106
"Bonner County, Idaho",105
"Ada County, Idaho",105
"Boise County, Idaho",103
"Gem County, Idaho",99
"Jefferson County, Idaho",98
"Adams County, Idaho",98
"Boundary County, Idaho",97
"Nez Perce County, Idaho",96
"Franklin County, Idaho",96
"Latah County, Idaho",95
"Camas County, Idaho",95
"Canyon County, Idaho",95
"Fremont County, Idaho",94
"Custer County, Idaho",94
"Owyhee County, Idaho",93
"Madison County, Idaho",91
"Bear Lake County, Idaho",90
"Lemhi County, Idaho",89
"Bonneville County, Idaho",89
"Bingham County, Idaho",89
"Washington County, Idaho",89
"Benewah County, Idaho",88
"Idaho County, Idaho",88
"Bannock County, Idaho",87
"Twin Falls County, Idaho",87
"Payette County, Idaho",87
"Clearwater County, Idaho",86
"Oneida County, Idaho",86
"Jerome County, Idaho",86
"Caribou County, Idaho",85
"Butte County, Idaho",85
"Gooding County, Idaho",85
"Lincoln County, Idaho",85
"Power County, Idaho",84
"Elmore County, Idaho",84
"Cassia County, Idaho",83
"Minidoka County, Idaho",82
"Lewis County, Idaho",79
"Shoshone County, Idaho",78
"Clark County, Idaho",77
"DuPage County, Illinois",114
"Kendall County, Illinois",106
"McHenry County, Illinois",105
"Cook County, Illinois",105
"Lake County, Illinois",101
"Kane County, Illinois",98
"Will County, Illinois",98
"Monroe County, Illinois",97
"Grundy County, Illinois",97
"DeKalb County, Illinois",88
"Calhoun County, Illinois",88
"Woodford County, Illinois",87
"Boone County, Illinois",86
"Menard County, Illinois",85
"Jo Daviess County, Illinois",85
